Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
trip time mode i[a43,car],44.4438,44.8374,45.2452,46.0853,46.9884,47.647,48.2276,48.7334,49.1488,49.6418,50.1785,50.6449,51.0694,51.6211,52.2239,52.746,53.5098,54.0718,54.4371,55.2854,55.8498,56.5713,57.2383,57.9878,58.755,59.5749,60.4819,61.4884,62.5761,63.74,64.9988
trip time mode i[a44,car],43.7341,44.1174,44.5334,45.2915,46.1155,46.7148,47.2047,47.6476,48.0044,48.4245,48.8698,49.2443,49.5531,49.8655,50.4325,50.8009,51.3906,51.7622,52.1328,52.5922,52.9687,53.3519,53.7969,54.2745,54.7581,55.2678,55.8255,56.4359,57.0917,57.7883,58.5359
trip time mode i[a45,car],59.9963,60.6301,61.415,62.9563,64.5735,65.8048,66.884,67.8422,68.6007,69.4824,70.3967,71.1984,71.9088,72.7187,73.9443,74.8511,76.2106,77.209,78.2336,79.4342,80.5261,81.6174,82.8176,84.1058,85.454,86.9262,88.5543,90.3556,92.3481,94.537,96.9312
trip time mode i[a46,car],61.9001,62.493,63.5367,65.1162,66.813,68.0806,69.1544,70.1145,70.8562,71.6842,72.5232,73.1745,73.8226,74.6327,75.5085,76.2659,77.3102,77.9328,78.8608,79.8391,80.7384,81.6724,82.4249,83.3452,84.2895,85.3029,86.4059,87.6199,88.9393,90.3766,91.8987
trip time mode i[a47,car],62.6764,63.4002,64.3567,65.8157,67.4241,68.5882,69.4823,70.2743,70.8929,71.4835,72.0954,72.6183,73.0636,73.6267,74.253,74.7227,75.2455,76.1531,76.649,77.3133,77.7189,78.0884,78.5641,79.0617,79.5545,80.0756,80.6368,81.2469,81.8975,82.5915,83.3329
trip time mode i[a48,car],50.2263,50.7083,51.2922,52.2941,53.4093,54.2337,54.9032,55.5421,55.9837,56.4001,56.9039,57.354,57.7277,58.2252,58.7846,59.2415,59.8891,60.3299,60.7966,61.34,61.8099,62.2938,62.8359,63.4145,63.9943,64.6014,65.2594,65.9835,66.7503,67.5732,68.4626
trip time mode i[a49,car],52.5659,53.0199,53.7754,54.9033,56.1443,57.0916,57.9003,58.6525,59.2258,59.8334,60.4211,60.9473,61.3923,61.992,62.6275,63.1879,63.9744,64.5212,65.0402,65.7741,66.3992,67.0266,67.7392,68.3513,69.0615,69.8298,70.6521,71.5386,72.4953,73.5266,74.6408
trip time mode i[a50,car],57.3598,58.0125,58.8943,60.3474,61.9449,63.1988,64.2164,65.1853,65.9059,66.6478,67.3272,67.8107,68.4761,69.2129,70.1079,70.8154,71.7654,72.4213,73.1263,73.9173,74.5962,75.2905,76.0427,76.8319,77.6347,78.4977,79.4372,80.4716,81.5945,82.8163,84.1477
trip time mode i[a51,car],54.1208,54.703,55.5093,56.7685,58.1541,59.2327,60.1145,60.9881,61.6351,62.3412,62.9628,63.5134,64.0027,64.6399,65.3343,65.9485,66.7915,67.3531,67.7928,68.8615,69.4987,70.3427,70.9004,71.4963,72.189,72.9304,73.7349,74.6177,75.5719,76.6038,77.6809
trip time mode i[a52,car],56.9347,57.5798,58.4708,59.8051,61.2829,62.4032,63.3124,64.1444,64.7602,65.3611,65.9327,66.4138,66.8608,67.4206,68.0191,68.5276,69.2079,69.4203,70.1921,70.7321,71.2731,71.7367,72.2622,72.7918,73.3025,73.845,74.431,75.0429,75.697,76.397,77.1469
trip time mode i[a53,car],61.0667,61.8095,62.7538,64.2948,65.9794,67.2274,68.2299,69.0843,69.7493,70.4678,71.1969,71.8416,72.425,73.1724,73.9727,74.6819,75.6679,76.3473,77.0242,77.5623,78.6039,79.325,80.341,80.9945,81.8272,82.665,83.5699,84.5496,85.6055,86.7483,87.987
trip time mode i[a54,car],64.0367,64.8445,65.8647,67.5168,69.367,70.7478,71.7804,72.6775,73.3282,73.9902,74.626,75.0748,75.762,76.4714,77.359,78.0405,78.8872,79.4562,80.0686,80.7661,81.3595,81.9654,82.615,83.2911,83.9732,84.7019,85.4897,86.351,87.278,88.2792,89.3605
trip time mode i[a55,car],65.735,66.2923,67.3042,69.2475,71.2039,72.7619,74.1182,75.367,76.4609,77.6332,78.9252,80.1727,81.4278,82.9651,84.6345,86.2127,89.5794,91.0807,93.3403,95.7952,98.2065,101.166,104.104,107.332,110.837,114.596,118.677,123.055,127.882,133.062,138.637
trip time mode i[a56,car],102.011,101.805,101.971,103.593,104.957,106.012,107.485,108.891,110.347,112.174,114.11,116.02,117.827,119.967,122.238,124.406,129,131.166,134.271,137.614,140.935,144.459,148.218,151.769,154.641,158.878,163.233,167.961,173.081,178.563,184.355
trip time mode i[a57,car],47.3302,47.7677,48.2985,49.1936,50.1778,50.9061,51.5051,52.0447,52.4611,52.9136,53.3538,53.7027,53.9019,54.449,54.9183,55.3514,55.903,56.2838,56.6829,57.1481,57.543,57.934,58.3627,58.8187,59.2805,59.7714,60.3047,60.8879,61.5153,62.1871,62.9099
trip time mode i[a58,car],51.8063,52.291,53.2091,54.4727,55.8832,56.9148,57.7726,58.5091,59.1277,59.822,60.5894,61.2621,61.8746,62.6839,63.7203,64.4794,65.928,66.4538,66.9608,68.1701,69.2796,70.5964,71.9183,73.3698,74.853,76.498,78.3581,80.4803,82.8894,85.611,88.6548
trip time mode i[a59,car],69.372,69.9777,71.0928,73.1037,75.232,76.8154,78.1829,79.4118,80.4855,81.6502,82.9203,84.1209,85.3501,86.8112,88.3942,89.8982,93.0794,94.4837,96.5883,98.8547,101.118,103.382,105.866,109.312,112.559,115.988,119.733,123.854,128.366,133.319,138.688
trip time mode i[a60,car],46.5667,47.0073,47.4949,48.4781,49.5279,50.3253,51.0276,51.6475,52.1544,52.769,53.4205,54.0098,54.5629,55.2834,56.0778,56.7901,57.8071,58.5888,59.2938,60.3384,61.1981,62.285,63.1496,64.2513,65.4097,66.6581,68.0472,69.5554,71.2273,73.0914,75.1681
trip time mode i[a61,car],48.4355,48.9185,49.4852,50.4146,51.4498,52.1749,52.738,53.2352,53.4589,53.978,54.3974,54.792,55.0928,55.4942,55.9602,56.3366,56.8752,57.2222,57.5784,57.9964,58.3324,58.6661,59.0342,59.4241,59.8133,60.2233,60.6668,61.1509,61.6679,62.1919,62.7482
trip time mode i[a62,car],52.3529,52.8212,53.5607,54.7418,56.0346,56.9834,57.7929,58.4641,58.9935,59.5799,60.2212,60.7957,61.3301,62.0167,62.7529,63.4195,64.3709,65.0732,65.6804,66.7414,67.5076,68.4655,69.3366,70.3049,71.3087,72.3651,73.5273,74.8187,76.2394,77.8049,79.5351
trip time mode i[a63,car],56.1994,56.8125,57.6101,58.9751,60.4921,61.628,62.5297,63.3081,63.907,64.6001,65.3302,65.9143,66.4623,67.159,67.9214,68.5782,69.4776,69.9328,70.8455,71.6619,72.4614,73.0717,73.6987,74.4316,75.1718,75.964,76.824,77.7646,78.7725,79.8624,81.0409
trip time mode i[a64,car],48.9993,49.3875,49.9965,50.9625,52.0003,52.7351,53.3682,53.8793,54.2967,54.7744,55.3337,55.8485,56.2998,56.883,57.5318,58.1317,59.0521,59.7246,60.4376,61.2755,62.0508,62.8832,63.7128,64.8072,65.8734,66.9597,67.8324,69.0275,70.3474,71.7702,73.3224
trip time mode i[a65,car],51.2167,51.6758,52.4474,53.6133,54.8886,55.7916,56.5393,57.1381,57.6192,58.1702,58.7923,59.357,59.863,60.5393,61.2354,61.8755,62.7969,63.4837,64.2298,65.1083,65.9035,66.6117,67.747,68.9119,70.378,71.269,72.1943,73.4516,74.8307,76.3034,77.8895
trip time mode i[a66,car],84.7056,84.6071,84.7264,85.9402,87.1481,88.2154,89.6296,91.0131,92.3967,94.428,96.1572,97.4961,98.6517,100.025,101.369,102.567,104.348,105.744,107.249,108.884,110.371,111.907,113.593,115.406,117.323,119.248,120.645,122.509,124.478,126.558,128.749
trip time mode i[a67,car],73.9916,74.0694,74.6177,76.4809,78.3067,79.7769,81.5062,83.2213,84.9399,87.6508,90.3282,91.8094,93.0152,94.5398,96.15,97.5821,99.4618,100.892,102.455,104.053,105.635,107.133,108.531,110.053,111.567,113.085,114.604,116.166,117.773,119.385,120.886
trip time mode i[a68,car],70.4178,70.6149,71.146,72.7416,74.3933,75.6847,77.1528,78.6546,80.136,82.2705,84.3272,86.0766,87.675,89.8126,92.2128,94.2227,97.2325,99.5917,101.423,102.909,104.19,105.367,106.796,107.996,109.191,110.432,111.695,113.022,114.407,115.827,117.236
trip time mode i[a69,car],85.188,85.338,85.924,88.5765,90.7563,92.1825,93.8675,95.3612,96.8787,99.1102,101.192,102.965,104.521,106.469,108.503,110.307,112.642,114.504,116.544,118.712,120.671,122.616,124.495,126.577,128.072,129.902,131.739,133.617,135.567,137.6,139.676
trip time mode i[a70,car],50.479,50.6712,50.9074,51.599,52.2945,52.7631,53.221,53.5894,53.9835,54.6277,55.2512,55.7256,56.1645,56.7754,57.4532,58.0344,58.8714,59.5061,60.11,60.7245,61.362,61.9536,62.6884,63.413,64.1718,64.9765,65.8627,67.0664,68.4278,69.7999,71.2542
trip time mode i[a71,car],55.4542,55.6092,55.8373,56.4703,57.1019,57.5031,57.9251,58.2561,58.6875,59.505,60.251,60.7626,61.2251,61.9029,62.6344,63.2081,64.3691,64.9183,65.7032,66.4717,67.1209,67.7926,68.5695,69.3822,70.1842,71.0315,71.9606,72.977,74.0633,75.2241,76.4657
